1272, -2672.043945, 258.937194, 4.632812, 189.680572, 130, 2 ; // Cluckin Bell mid SF beach (Kye)
1272, -1816.763427, 617.589660, 35.171875, 353.020690, 130, 2 ; // Cluckin Bell SF (dugi)
1272, -1721.932250, 1359.860717, 7.185316, 268.479644, 22, 2 ; // Pizza stack shore SF (kye)
1272, -2154.623535, -2460.848876, 30.851562, 48.116821, 130, 2 ; // Cluckin Bell Angel Pine (dugi)
1272, 172.669723, 1176.409179, 14.764543, 328.506103, 130, 2 ; // Cluckin Bell Fort Carson (dugi)
1272, 1367.071044, 248.593109, 19.566932, 245.808715, 22, 2 ; // Pizza Montgomery (dugi)
1272, 810.959289, -1616.228393, 13.546875, 84.417098, 47, 2 ; // Burger Shot LS
1272, 2846.259521, 2414.882568, 11.068956, 43.913692, 130, 2 ; // Cluckin Bell LV (dugi)
1272, 2756.376708, 2476.747314, 11.062500, 319.626251, 22, 2 ; // Pizza LV (dugi)
1272, -2442.768310, 754.327941, 35.171875, 0.069979, 52, 2 ; // 24/7 SF (dugi)
1272, 2229.121100, -1722.06200, 13.562500, 315.1371, 1, 2 ; // Ginásio LS (dimmy)
1272, 1158.547973, 2072.261474, 11.062500, 89.872474, 47, 2 ; // Burger Shot LV (dugi)
1272, 2170.229003, 2795.691894, 10.820312, 85.485740, 47, 2 ; // Burger Shot LV (dugi)
1272, 2330.606201, 2532.529785, 10.820312, 359.255584, 22, 2 ; // Pizza LV (dugi)
1272, 2802.501220, 2430.280273, 11.062500, 318.185119, 25, 2 ; // Victim LV (dugi)
1272, 2779.359375, 2453.658691, 11.062500, 314.425018, 33, 2 ; // Suburban LV (dugi)
1272, 2102.554687, 2228.759033, 11.023437, 97.608024, 130, 2 ; // Cluckin Bell LV (dugi)
1272, 2102.572265, 2257.474365, 11.023437, 93.221321, 80, 2 ; // Binco LV (dugi)
1272, 2097.767578, 2223.978515, 11.023437, 3.920505, 52, 2 ; // 24/7 LV (dugi)
1272, 1457.728500, -1137.79860, 23.993500, 40.939900, 53, 2 ; // Zip LS (dimmy)
1272, 2194.563720, 1991.017944, 12.296875, 270.419586, 52, 2 ; // 24/7 LV (dugi)
1272, 2452.393310, 2064.608154, 10.820312, 0.861728, 52, 2 ; // 24/7 LV (dugi)
1272, -2492.282470, -29.028230, 25.765625, 267.565582, 33, 2 ; // SubUrban SF (dugi)
1272, -1883.063476, 865.582031, 35.172843, 321.459350, 53, 2 ; // Zip SF (dugi)
1272, -1693.950805, 950.370056, 24.890625, 317.699249, 25, 2 ; // Victim SF (dugi)
1272, -2374.904052, 910.287475, 45.445312, 260.865631, 80, 2 ; // Binco SF (dugi)
1272, 2104.495605, -1806.595214, 13.554687, 271.855743, 22, 2 ; // Pizza LS (dugi)
1272, 453.227142, -1478.244018, 30.812078, 289.547210, 61, 2 ; // Didier Sachs LS (dugi)
1272, 1368.388671, -1279.795898, 13.546875, 273.337646, 96, 2 ; // ammunation LS (damo)
1272, 2397.941406, -1898.133666, 13.546875, 182.602310, 130, 2 ; // cluckin' bell
1272, -1561.987426, -2733.466552, 48.743457, 55.909801, 52, 2 ; // 24/7 dugi
1272, 2781.348144, -1814.231079, 11.843750, 218.271469, 39, 2 ; // Los Santos Forum
1272, -2093.248046, -2464.454589, 30.625000, 141.188079, 123, 2 ; // ammunation dugi
1272, 1832.444946, -1842.604736, 13.578125, 271.837738, 52, 2 ; // 24/7
1272, 2158.767333, 943.083129, 10.820312, 108.761138, 96, 2 ; // Ammunation LV G-sTyLeZzZ
1272, 2638.084228, 1849.809326, 11.023437, 272.709197, 22, 2 ; // Pizza Stack dugi
1272, 2847.6321, 983.5542, 10.7500, 5.230399, 71, 2 ; // Fábrica de Materiais
1272, 1937.173583, 2307.304931, 10.820312, 5.076000, 52, 2 ; // 24/7 G-sTyLeZzZ
1272, -1508.861572, 2609.611572, 55.835937, 1.487694, 123, 2 ; // ammunation dugi
1272, 2247.947509, 2397.572998, 10.820312, 3.952800, 52, 2 ; // 24/7 G-sTyLeZzZ(kenny01)
1272, 2538.900878, 2084.042968, 10.820312, 268.005279, 96, 2 ; // ammunation dugi
1272, -2551.652832, 193.638565, 6.190325, 284.976623, 64, 2 ; // bar dugi
1272, 1070.058349, -1221.396118, 16.890625, 265.590789, 16, 2 ; // Clothing Shop in Market (KingJ)
1272, 499.961059, -1359.307128, 16.257724, 164.398086, 16, 2 ; // Pro-Laps in Rodeo (kenny01)
1272, 460.946624, -1500.953002, 31.058170, 280.210174, 25, 2 ; // Victim in Rodeo (kenny01)
1272, 2244.590820, -1664.513061, 15.476562, 167.776901, 80, 2 ; // Binco in Ganton (kenny01)
1272, 2354.133056, -1512.185668, 24.000000, 320.673034, 87, 2 ; // Mexican Inn (kenny01)
1272, -2626.432128, 209.431488, 4.601754, 0.752900, 96, 2 ; // Ammu SF Kye
1272, 2400.531738, -1980.582885, 13.546875, 175.231292, 123, 2 ; // ammu south LS Kye
1272, 778.146789, 1871.564575, 4.907619, 90.455406, 123, 2 ; // ammu bone Kye
1272, -314.774688, 829.901977, 14.242187, 95.132049, 123, 2 ; // ammu bone Kye
1272, 241.099655, -178.363815, 1.578125, 265.502624, 96, 2 ; // Ammu blueberry Kye
1272, 2334.055664, 61.541301, 26.484687, 177.983642, 122, 2 ; // Ammu Kye
1272, 1352.342800, -1759.0037, 13.507800, 182.619000, 52, 2 ; // 24/7 (dimmy)
1272, 1928.973300, -1776.2805, 13.546900, 90.9158, 52, 2 ; // 24/7 (dimmy)
1272, -78.679400, -1169.80760, 2.1432000, 246.6672, 52, 2 ; // 24/7 (dimmy)
